Mangalore-Udupi Food Items,Ingredients Used
Kayi Sasive (Coconut-Mustard Curry),"Coconut, Mustard seeds, Green chilies, Tamarind, Salt"
Majjige Huli (Buttermilk Curry),"Buttermilk, Vegetables (pumpkin, ash gourd), Coconut, Green chilies, Salt"
Tovve (Plain Dal),"Toor dal, Water, Turmeric, Salt"
Masala Rotti,"Rice flour, Onion, Green chilies, Coriander leaves, Spices"
Tondekai (Ivy Gourd) Palya,"Ivy gourd, Coconut, Mustard seeds, Curry leaves, Green chilies"
Badanekayi (Brinjal) Yennegayi,"Brinjal, Onion, Tomato, Spices, Oil"
Mangalore Southekayi Huli (Cucumber Curry),"Cucumber, Coconut, Tamarind, Mustard seeds, Green chilies"
Batata Huli (Potato Curry),"Potatoes, Onion, Tomato, Mustard seeds, Turmeric, Spices"
Gulla Bajji (Brinjal Curry),"Brinjal, Spices, Coconut, Tamarind, Mustard seeds"
Mulangi Sambar (Radish Sambar),"Radish, Toor dal, Tamarind, Sambar powder, Mustard seeds"
Bendekayi Gojju (Okra Curry),"Okra, Tamarind, Coconut, Jaggery, Spices"
Huli Saaru (Tamarind Soup),"Tamarind, Toor dal, Spices, Curry leaves, Mustard seeds"
Puli Koddel,"Tamarind, Mixed vegetables, Coconut, Spices"
Gasi (Coconut-based Curry),"Coconut, Mixed vegetables, Jaggery, Spices"
Tindora Palya (Ivy Gourd Stir-fry),"Ivy gourd, Coconut, Mustard seeds, Curry leaves, Green chilies"
Nuggekayi Sambar (Drumstick Sambar),"Drumsticks, Toor dal, Tamarind, Sambar powder, Mustard seeds"
Menaskai (Pineapple Curry),"Pineapple, Coconut, Jaggery, Mustard seeds, Tamarind"
Mangalore Gojju (Sweet-Sour Curry),"Mixed vegetables, Tamarind, Jaggery, Mustard seeds, Spices"
Thondekai Sambar,"Ivy gourd, Toor dal, Tamarind, Sambar powder, Mustard seeds"
Matti Gulla Sambar (Local Brinjal Sambar),"Local brinjal, Toor dal, Tamarind, Sambar powder"
Basale Soppu Saaru (Malabar Spinach Soup),"Malabar spinach, Toor dal, Tamarind, Spices"
Bendekayi Bajji (Okra Curry),"Okra, Rice flour, Spices, Oil"
Beetroot Palya,"Beetroot, Mustard seeds, Coconut, Green chilies"
Raw Banana Gasi,"Raw banana, Coconut, Jaggery, Mustard seeds, Tamarind"
Mixed Vegetable Gasi,"Mixed vegetables, Coconut, Jaggery, Mustard seeds"
Majjige huli (Yogurt Curry),"Yogurt, Mixed vegetables, Mustard seeds, Spices"
Soppu Saaru (Leafy Greens Sambar),"Leafy greens, Toor dal, Tamarind, Sambar powder"
Bhenda Gassi (Okra Coconut Curry),"Okra, Coconut, Spices, Tamarind"
Tendli Gasi,"Tendli (Ivy gourd), Coconut, Jaggery, Mustard seeds"
Padavalakai Huli (Snake Gourd Curry),"Snake gourd, Coconut, Tamarind, Spices"
Coconut Chutney,"Coconut, Green chilies, Ginger, Mustard seeds"
Red Chili Chutney,"Red chilies, Tamarind, Garlic, Salt"
Tamarind Chutney,"Tamarind, Jaggery, Spices, Water"
Mango Chutney,"Raw mango, Jaggery, Spices"
Green Mango Pickle,"Green mango, Spices, Oil, Salt"
Lemon Pickle,"Lemon, Salt, Spices, Oil"
Ridge Gourd Chutney,"Ridge gourd, Coconut, Green chilies, Tamarind"
Ginger Chutney,"Ginger, Tamarind, Jaggery, Spices"
Garlic Chutney,"Garlic, Red chilies, Spices, Salt"
Red Coconut Chutney,"Red chilies, Coconut, Mustard seeds"
Coriander Chutney,"Coriander leaves, Green chilies, Coconut, Ginger"
Tomato Thokku,"Tomatoes, Mustard seeds, Spices, Oil"
Peanut Chutney,"Peanuts, Green chilies, Garlic, Tamarind"
Curry Leaves Chutney,"Curry leaves, Coconut, Green chilies, Tamarind"
Mint Chutney,"Mint leaves, Green chilies, Coconut, Lemon juice"
Sesame Seed Chutney,"Sesame seeds, Tamarind, Garlic, Jaggery"
Cucumber Chutney,"Cucumber, Coconut, Green chilies, Ginger"
Jackfruit Seed Chutney,"Jackfruit seeds, Coconut, Green chilies, Tamarind"
Coconut-Tamarind Chutney,"Coconut, Tamarind, Green chilies, Spices"
Uppu Huli Chutney (Spicy-Sour),"Tamarind, Green chilies, Salt, Spices"
Green Chili Chutney,"Green chilies, Tamarind, Coconut, Spices"
Maddur Vada,"Rice flour, Urad dal, Onion, Spices"
Nippat (Rice Crackers),"Rice flour, Spices, Oil"
Kodubale,"Rice flour, Coconut, Sesame seeds, Jaggery"
Chakli,"Rice flour, Lentil flour, Spices, Oil"
Murukku,"Rice flour, Urad dal flour, Spices, Oil"
Bajji (Fried Vegetables),"Vegetables (banana, potato), Besan (gram flour), Spices"
Mangalore Bajji,"Green chili, Rice flour, Coconut, Spices"
Onion Pakoda,"Onions, Besan, Rice flour, Spices"
Ribbon Pakoda,"Rice flour, Lentil flour, Spices, Oil"
Dal Vada,"Split urad dal, Spices, Onion"
Alu Bonda,"Potatoes, Besan (Chickpea flour), Spices (cumin, turmeric, chili powder), Salt, Oil (for frying)"
Banana Chips,"Raw bananas, Salt, Turmeric powder, Oil (for frying)"
Avalakki Mixture,"Flattened rice, Peanuts, Spices (mustard seeds, chili powder), Curry leaves, Salt"
Kayi Holige,"Grated coconut, Jaggery, Wheat flour, Cardamom powder, Ghee"
Masala Groundnuts,"Raw peanuts, Spices (chili powder, turmeric, salt), Oil"
Jackfruit Chips,"Raw jackfruit, Salt, Oil (for frying)"
Udupi Bonda,"Potatoes, Besan (Chickpea flour), Spices (cumin, curry leaves, green chili), Salt, Oil (for frying)"
Hayagreeva,"Chana dal (split chickpeas), Jaggery, Grated coconut, Cardamom, Ghee"
Godhi Payasa (Wheat Kheer),"Wheat, Milk, Jaggery, Cardamom, Cashews, Raisins"
Kadabu (Steamed Sweet Dumplings),"Rice flour, Jaggery, Grated coconut, Cardamom"
Ellu Holige (Sesame Sweet Flatbread),"Sesame seeds, Jaggery, Wheat flour, Cardamom, Ghee"
Karjikai (Fried Sweet Dumplings),"All-purpose flour, Jaggery, Grated coconut, Cardamom, Oil (for frying)"
Gasagase Payasa (Poppy Seed Kheer),"Poppy seeds, Milk, Jaggery, Cardamom, Cashews"
Chiroti,"All-purpose flour, Ghee, Sugar, Cardamom"
Mysore Pak,"Gram flour (besan), Ghee, Sugar, Water"
Obbattu,"Wheat flour, Jaggery, Grated coconut, Cardamom"
Payasa (Kheer),"Rice/semolina, Milk, Jaggery, Cardamom, Cashews, Raisins"
Jackfruit Payasa,"Jackfruit, Rice, Milk, Jaggery, Cardamom"
Paradi Payasa,"Rice, Milk, Jaggery, Cardamom, Cashews"
Chana Dal Payasa,"Chana dal, Milk, Jaggery, Cardamom, Cashews"
Barfi (Various types),"Milk, Sugar, Ghee, Cardamom, Nuts (almonds, cashews)"
Coconut Burfi,"Grated coconut, Sugar, Milk, Cardamom, Ghee"
Halubai (Rice Flour Sweet),"Rice flour, Jaggery, Coconut, Cardamom, Ghee"
Rava Ladoo,"Semolina, Ghee, Sugar, Cardamom, Nuts (cashews, raisins)"
Jalebi,"All-purpose flour, Yogurt, Sugar, Saffron, Oil (for frying)"
Milk Kesari,"Semolina, Sugar, Ghee, Milk, Cardamom, Cashews"
Sabudana Payasa,"Sabudana (tapioca pearls), Milk, Jaggery, Cardamom, Nuts"
Shavige Payasa (Vermicelli Kheer),"Vermicelli, Milk, Jaggery, Cardamom, Nuts"
Badam Halwa,"Almonds, Ghee, Sugar, Milk, Cardamom"
Wheat Laddu,"Whole wheat flour, Ghee, Jaggery, Cardamom, Nuts"
Besan Laddu,"Gram flour (besan), Ghee, Sugar, Cardamom, Nuts"
Dry Fruit Burfi,"Mixed nuts, Sugar, Ghee, Cardamom"
Dudha Kodli (Milk Sweet),"Rice, Milk, Jaggery, Cardamom"
Mangalore Halwa,"All-purpose flour, Sugar, Ghee, Coconut milk, Cardamom"
Avalakki Payasa (Poha Kheer),"Flattened rice, Milk, Jaggery, Cardamom, Cashews"
Ashgourd Halwa,"Ash gourd, Sugar, Ghee, Cardamom, Cashews"
Pancha Kajjaya (Temple Sweet),"Rice flour, Jaggery, Coconut, Cardamom, Ghee"
Sanna (Steamed Rice Cakes),"Rice flour, Coconut, Sugar, Yeast, Salt"
Bhatkali Biryani (Vegetarian version),"Rice, Mixed vegetables, Spices (bay leaf, cinnamon, cloves), Oil, Ginger-garlic paste"
Coconut Rice,"Cooked rice, Grated coconut, Mustard seeds, Green chilies, Curry leaves"
Tamarind Rice,"Cooked rice, Tamarind, Peanuts, Spices (mustard seeds, turmeric), Jaggery"
Lemon Rice,"Cooked rice, Lemon juice, Mustard seeds, Turmeric, Green chilies"
Vangi Bath (Brinjal Rice),"Cooked rice, Brinjal (eggplant), Spices (mustard seeds, chili powder), Coconut"
Ghee Rice,"Rice, Ghee, Whole spices (cinnamon, cardamom), Cashews"
Jeera Rice,"Rice, Cumin seeds, Ghee, Salt"
Puliyodarai (Tamarind Rice),"Cooked rice, Tamarind, Spices (mustard seeds, turmeric, chili), Jaggery"
Vegetable Pulao,"Rice, Mixed vegetables, Spices (bay leaf, cumin), Ghee"
Palak Rice,"Rice, Spinach, Spices (cumin, garlic), Ghee"
Curd Rice,"Cooked rice, Yogurt, Cucumber, Salt, Mustard seeds"
Tomato Rice,"Cooked rice, Tomatoes, Spices (mustard seeds, turmeric), Onion"
Bisibele Bath,"Cooked rice, Lentils, Mixed vegetables, Spices (sambar powder), Tamarind"
Avarekalu Bhat (Hyacinth Bean Rice),"Rice, Hyacinth beans, Spices (mustard seeds, turmeric), Ghee"
Sweet Rice (Sakkare Pongal),"Rice, Jaggery, Milk, Cardamom, Cashews"
Raw Mango Rice,"Cooked rice, Raw mango, Mustard seeds, Green chilies, Curry leaves"
Coconut Milk Rice,"Rice, Coconut milk, Spices (bay leaf, cardamom), Salt"
Kosambari (Lentil Salad),"Split lentils, Cucumber, Carrots, Lemon juice, Salt"
Cucumber Kosambari,"Cucumber, Split lentils, Lemon juice, Salt, Green chilies"
Beetroot Salad,"Beetroot, Onion, Lemon juice, Salt, Mustard seeds"
Mixed Veg Raita,"Yogurt, Mixed vegetables, Cumin powder, Salt, Green chilies"
Tambuli (Buttermilk-based Salad),"Buttermilk, Ginger, Green chilies, Salt, Coriander"
Green Gram Kosambari,"Green gram, Carrots, Lemon juice, Salt, Coconut"
Sprouted Moong Salad,"Sprouted moong, Tomatoes, Onions, Lemon juice, Salt"
Cabbage Kosambari,"Cabbage, Split lentils, Lemon juice, Salt, Green chilies"
Carrot Kosambari,"Carrots, Split lentils, Lemon juice, Salt, Coconut"
Ash Gourd Raita,"Ash gourd, Yogurt, Cumin powder, Salt, Green chilies"
Pumpkin Tambuli,"Pumpkin, Buttermilk, Ginger, Salt, Coriander"
Cucumber Raita,"Cucumber, Yogurt, Cumin powder, Salt, Green chilies"
Shunti Tambuli (Ginger Buttermilk Salad),"Ginger, Buttermilk, Salt, Coriander, Green chilies"
Pudina Tambuli (Mint Raita),"Mint leaves, Yogurt, Cumin powder, Salt, Green chilies"
Happala (Sun-dried Fryums),"Rice flour, Water, Salt, Spices (cumin, chili powder)"
Sandige (Fryums made from rice),"Rice flour, Water, Salt, Spices"
Jackfruit Fryums,"Raw jackfruit, Salt, Turmeric, Oil"
Sabudana Fryums,"Sabudana (tapioca pearls), Water, Salt, Spices"
Avalakki Sandige,"Flattened rice, Water, Salt, Spices"
Aaam rasayana,"Raw mango, Sugar, Water, Mint leaves, Spices (cumin powder)"
